q_index,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,error
73,skipped_resume,4.25,-2.125,6.375,0.9411764705882353,0.9019607843137255,0.8823529411764706,0.8235294117647058,L21H1,<tool_call>,The,
74,skipped_resume,1.0,-7.875,8.875,1.0,0.9859154929577465,0.8732394366197183,0.9154929577464789,L21H1,<tool_call>,Here,
75,skipped_resume,1.0,-8.875,9.875,0.9367088607594937,0.8987341772151899,0.8734177215189873,0.8481012658227848,L24H6,<tool_call>,Here,
76,skipped_resume,2.125,-3.375,5.5,1.0227272727272727,1.0,0.9545454545454546,0.9318181818181818,L21H12,<tool_call>,Here,
77,skipped_resume,4.75,-1.125,5.875,0.9148936170212766,0.8297872340425532,0.8085106382978723,0.8085106382978723,L21H12,<tool_call>,Here,
78,skipped_resume,1.75,-4.0,5.75,0.9130434782608695,0.8913043478260869,0.8043478260869565,0.8260869565217391,L21H12,<tool_call>,Here,
79,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
80,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
81,skipped_resume,3.0,-4.25,7.25,0.9137931034482759,0.8793103448275862,0.8793103448275862,0.8275862068965517,L21H12,<tool_call>,Here,
82,skipped_resume,6.375,-5.625,12.0,0.9479166666666666,0.9583333333333334,0.9375,0.9270833333333334,L21H1,<tool_call>,Here,
83,skipped_resume,1.875,-3.5,5.375,0.9534883720930233,1.0930232558139534,0.8837209302325582,0.8604651162790697,L21H12,<tool_call>,Here,
84,skipped_resume,4.25,-0.75,5.0,1.175,1.15,1.0,1.175,L21H12,<tool_call>,To,
85,skipped_resume,6.625,-3.25,9.875,0.9620253164556962,0.9746835443037974,0.7974683544303798,0.7974683544303798,L21H1,<tool_call>,Here,
86,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
87,skipped_resume,3.75,-7.25,11.0,0.9659090909090909,0.9659090909090909,0.8977272727272727,0.9318181818181818,L21H1,<tool_call>,Here,
88,skipped_resume,2.375,-1.25,3.625,1.103448275862069,1.2413793103448276,1.0689655172413792,1.2758620689655173,L21H1,<tool_call>,I,
89,skipped_resume,5.375,-3.25,8.625,1.0,1.0289855072463767,0.9420289855072463,0.8985507246376812,L21H1,<tool_call>,To,
90,skipped_resume,4.125,-1.625,5.75,0.9347826086956522,0.9565217391304348,0.8913043478260869,0.8478260869565217,L21H12,<tool_call>,Here,
91,skipped_resume,2.875,-5.25,8.125,0.8615384615384616,0.8769230769230769,0.9230769230769231,0.9384615384615385,L21H1,<tool_call>,Here,
92,skipped_resume,0.75,-2.5,3.25,1.2692307692307692,1.2692307692307692,1.2307692307692308,1.3846153846153846,L21H12,<tool_call>,To,
93,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
94,skipped_resume,4.25,-1.125,5.375,1.186046511627907,1.2325581395348837,1.0930232558139534,1.1162790697674418,L21H1,<tool_call>,Sure,
95,skipped_resume,1.375,-6.75,8.125,0.8769230769230769,0.8461538461538461,0.8615384615384616,0.8461538461538461,L21H1,<tool_call>,The,
96,skipped_resume,0.375,-4.875,5.25,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.7857142857142857,L21H1,<tool_call>,Here,
97,skipped_resume,2.75,-3.125,5.875,0.8936170212765957,0.8936170212765957,0.8297872340425532,0.8936170212765957,L21H1,<tool_call>,Here,
98,skipped_resume,4.875,-2.125,7.0,0.9107142857142857,0.9285714285714286,0.875,0.8571428571428571,L21H12,<tool_call>,Here,
99,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
100,skipped_resume,2.75,-4.625,7.375,1.0169491525423728,1.0,0.9322033898305084,0.9491525423728814,L21H1,<tool_call>,Here,
101,skipped_resume,4.25,-6.125,10.375,0.963855421686747,0.9397590361445783,0.891566265060241,0.8554216867469879,L21H1,<tool_call>,Here,
102,skipped_resume,-0.25,-16.125,15.875,0.9448818897637795,0.9173228346456693,0.8976377952755905,0.8937007874015748,L24H6,<tool_call>,Here,
103,skipped_resume,4.25,-3.875,8.125,0.9846153846153847,1.0307692307692307,0.8615384615384616,0.9076923076923077,L21H1,<tool_call>,Here,
104,skipped_resume,4.0,-5.25,9.25,0.9594594594594594,0.9594594594594594,0.8648648648648649,0.918918918918919,L21H1,<tool_call>,Here,
105,skipped_resume,2.5,-4.25,6.75,0.9444444444444444,0.9814814814814815,0.8333333333333334,0.8518518518518519,L21H12,<tool_call>,Here,
106,skipped_resume,6.125,-2.125,8.25,1.0606060606060606,1.0454545454545454,0.9545454545454546,0.9545454545454546,L21H1,<tool_call>,Here,
107,skipped_resume,4.0,-2.25,6.25,0.86,0.9,0.8,0.8,L21H1,<tool_call>,Here,
108,skipped_resume,2.875,-6.875,9.75,1.064102564102564,1.0769230769230769,0.9615384615384616,0.9743589743589743,L21H1,<tool_call>,To,
109,skipped_resume,2.125,-1.5,3.625,1.1379310344827587,1.1724137931034482,1.3103448275862069,1.4482758620689655,L21H1,<tool_call>,I,
110,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
111,skipped_resume,2.75,-7.125,9.875,0.9240506329113924,0.8987341772151899,0.8987341772151899,0.8860759493670886,L21H12,<tool_call>,To,
112,skipped_resume,3.25,-6.625,9.875,0.9240506329113924,0.9240506329113924,0.8987341772151899,0.8734177215189873,L21H1,<tool_call>,Here,
113,skipped_resume,3.875,-2.375,6.25,0.94,0.96,0.92,0.9,L21H1,<tool_call>,Here,
114,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
115,skipped_resume,1.125,-6.25,7.375,1.11864406779661,1.1355932203389831,1.0847457627118644,1.1016949152542372,L21H1,<tool_call>,To,
116,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
117,skipped_resume,0.25,-7.125,7.375,0.8983050847457628,0.8983050847457628,0.8135593220338984,0.847457627118644,L21H12,<tool_call>,Here,
118,skipped_resume,4.5,-1.625,6.125,1.0204081632653061,0.9591836734693877,0.9387755102040817,0.9591836734693877,L21H1,<tool_call>,Here,
119,skipped_resume,2.75,-4.875,7.625,0.9344262295081968,0.9508196721311475,0.8688524590163934,0.8852459016393442,L21H12,<tool_call>,Here,
120,skipped_resume,-6.375,-8.625,2.25,1.3888888888888888,1.4166666666666667,1.2777777777777777,1.3888888888888888,L21H12,<tool_call>,The,
121,skipped_resume,3.75,-10.375,14.125,0.9911504424778761,1.0,0.8849557522123894,0.8849557522123894,L21H1,<tool_call>,To,
122,skipped_resume,3.75,-4.125,7.875,0.9523809523809523,0.9523809523809523,0.8253968253968254,0.7777777777777778,L21H12,<tool_call>,Here,
123,skipped_resume,4.5,-3.125,7.625,0.9180327868852459,0.9508196721311475,0.9344262295081968,0.9180327868852459,L21H1,<tool_call>,Here,
124,skipped_resume,7.25,-1.0,8.25,0.9545454545454546,0.9696969696969697,0.8181818181818182,0.7727272727272727,L21H1,<tool_call>,The,
125,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
126,skipped_resume,4.375,-2.625,7.0,0.9642857142857143,0.9821428571428571,0.8571428571428571,0.8928571428571429,L21H1,<tool_call>,Here,
127,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
128,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
129,skipped_resume,5.75,-2.375,8.125,0.9846153846153847,1.0307692307692307,0.9692307692307692,0.9846153846153847,L21H12,<tool_call>,To,
130,skipped_resume,4.25,-0.5,4.75,0.868421052631579,0.8421052631578947,0.7368421052631579,0.6842105263157895,L21H1,<tool_call>,The,
131,skipped_resume,8.375,-1.375,9.75,0.9294871794871795,0.9230769230769231,0.9230769230769231,0.8974358974358975,L21H1,<tool_call>,Here,
132,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
133,skipped_resume,4.25,-0.375,4.625,1.0810810810810811,1.1081081081081081,0.8918918918918919,0.972972972972973,L21H1,<tool_call>,Here,
134,skipped_resume,4.125,-1.5,5.625,1.0,0.9777777777777777,0.8222222222222222,0.9555555555555556,L21H1,<tool_call>,Here,
135,skipped_resume,-0.375,-6.25,5.875,1.148936170212766,1.1702127659574468,1.0851063829787233,1.1063829787234043,L21H12,<tool_call>,To,
136,skipped_resume,3.0,-3.75,6.75,0.9444444444444444,1.0185185185185186,0.8703703703703703,0.8888888888888888,L21H1,<tool_call>,Here,
137,skipped_resume,3.25,-3.875,7.125,0.9298245614035088,1.0,0.9122807017543859,1.0350877192982457,L21H1,<tool_call>,Here,
138,skipped_resume,4.125,-1.5,5.625,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9111111111111111,L21H1,<tool_call>,Here,
139,skipped_resume,2.625,-2.5,5.125,1.0,0.9512195121951219,0.8292682926829268,0.8780487804878049,L21H12,<tool_call>,The,
140,skipped_resume,3.625,-1.125,4.75,1.0263157894736843,1.0789473684210527,0.8157894736842105,0.7894736842105263,L21H1,<tool_call>,Here,
141,skipped_resume,6.25,-2.125,8.375,0.9701492537313433,0.9552238805970149,0.9104477611940298,0.9402985074626866,L21H12,<tool_call>,Here,
142,skipped_resume,7.375,-1.25,8.625,0.9130434782608695,0.8985507246376812,0.8695652173913043,0.8405797101449275,L21H1,<tool_call>,Here,
143,skipped_resume,3.25,-2.75,6.0,0.9375,0.9583333333333334,0.875,0.9166666666666666,L21H1,<tool_call>,Here,
144,skipped_resume,5.125,-10.125,15.25,0.9754098360655737,0.9426229508196722,0.8934426229508197,0.8360655737704918,L21H1,<tool_call>,Here,
145,skipped_resume,-0.875,-4.75,3.875,1.2258064516129032,1.2258064516129032,1.2580645161290323,1.3225806451612903,L21H1,<tool_call>,To,
146,skipped_resume,3.25,-1.625,4.875,0.9743589743589743,1.0256410256410255,0.9743589743589743,1.0256410256410255,L21H12,<tool_call>,Here,
147,skipped_resume,1.375,-7.5,8.875,0.9859154929577465,1.028169014084507,0.9295774647887324,0.8873239436619719,L21H1,<tool_call>,Here,
148,skipped_resume,2.0,-3.375,5.375,0.9534883720930233,1.0465116279069768,0.8837209302325582,0.9302325581395349,L21H1,<tool_call>,Here,
149,skipped_resume,5.875,-0.75,6.625,0.9811320754716981,1.0,0.9056603773584906,0.9245283018867925,L21H1,<tool_call>,Here,
150,skipped_resume,2.25,-6.75,9.0,0.9444444444444444,0.9583333333333334,0.9166666666666666,0.9027777777777778,L21H12,<tool_call>,Here,
151,skipped_resume,1.25,-4.875,6.125,0.9795918367346939,1.0,0.8979591836734694,0.8571428571428571,L21H12,<tool_call>,Here,
152,skipped_resume,3.25,-3.25,6.5,0.9038461538461539,0.9423076923076923,0.8846153846153846,0.9807692307692307,L21H1,<tool_call>,Here,
153,skipped_resume,6.25,-2.125,8.375,0.9402985074626866,0.9402985074626866,0.835820895522388,0.8059701492537313,L21H1,<tool_call>,Here,
154,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
155,skipped_resume,4.375,-4.75,9.125,1.0273972602739727,1.0273972602739727,0.9452054794520548,0.9726027397260274,L21H1,<tool_call>,To,
156,skipped_resume,3.25,-2.25,5.5,1.0,1.0681818181818181,0.9772727272727273,1.0454545454545454,L21H12,<tool_call>,Here,
157,skipped_resume,6.75,-0.125,6.875,1.0272727272727273,1.0727272727272728,0.9454545454545454,0.9818181818181818,L21H12,<tool_call>,Here,
158,skipped_resume,2.125,-6.25,8.375,0.9402985074626866,0.9701492537313433,0.9104477611940298,0.9104477611940298,L21H12,<tool_call>,Here,
159,skipped_resume,-1.0,-4.875,3.875,1.0,1.1290322580645162,0.9354838709677419,1.032258064516129,L21H12,<tool_call>,Here,
160,skipped_resume,0.0,0.0,0.0,nan,nan,nan,nan,L0H0,<tool_call>,<tool_call>,
161,skipped_resume,4.5,-3.625,8.125,0.8923076923076924,0.9384615384615385,0.8461538461538461,0.8615384615384616,L21H1,<tool_call>,The,
162,skipped_resume,3.375,-6.625,10.0,0.9875,0.9875,0.95,0.9125,L21H12,<tool_call>,Here,
163,skipped_resume,3.625,-3.875,7.5,1.0333333333333334,1.0333333333333334,1.05,0.9666666666666667,L21H12,<tool_call>,To,
164,skipped_resume,4.875,-4.25,9.125,0.9726027397260274,0.9726027397260274,0.863013698630137,0.821917808219178,L21H1,<tool_call>,Here,
